model_name,feature_set,fold,n_train,n_valid,threshold,accuracy,balanced_accuracy,precision,recall,f1_macro,f1,roc_auc
RandomForest,TEXT_AUDIO,0,40042,10021,0.5399999999999999,0.5307853507633968,0.5282738704633416,0.5570557491289199,0.257655116841257,0.49224027159405037,0.35234159779614327,0.5581341482283276
RandomForest,TEXT_AUDIO,1,40061,10002,0.4699999999999999,0.5311937612477504,0.5362955792661963,0.5041974479516454,0.6336779911373708,0.5289323683048437,0.5615708274894811,0.555101272156122
RandomForest,TEXT_AUDIO,2,40041,10022,0.42999999999999994,0.5094791458790661,0.5218276121158498,0.4923915800152168,0.8096330275229358,0.47230532627234884,0.6123639804447248,0.5441951243334238
RandomForest,TEXT_AUDIO,3,40061,10002,0.4599999999999999,0.5298940211957609,0.5366710564729057,0.5022464698331194,0.6617336152219874,0.5255229896558867,0.5710636745119504,0.5525876464115339
RandomForest,TEXT_AUDIO,4,40047,10016,0.43999999999999995,0.5221645367412141,0.5250794115165163,0.510803324099723,0.7462565762849049,0.4991735250526198,0.6064791975004111,0.5472770898432857
KNN,TEXT_AUDIO,0,40042,10021,0.05,0.4953597445364734,0.5,0.4953597445364734,1.0,0.3312645979312646,0.6625291958625292,0.5336092597570612
KNN,TEXT_AUDIO,1,40061,10002,0.05,0.47380523895220955,0.5,0.47380523895220955,1.0,0.3214842955023404,0.6429685910046808,0.5245446348408389
KNN,TEXT_AUDIO,2,40041,10022,0.05,0.47844741568549193,0.4998957464553795,0.47849516016365634,0.999791492910759,0.3236147668218938,0.6472295336437875,0.5295320009307412
KNN,TEXT_AUDIO,3,40061,10002,0.05,0.47290541891621674,0.5,0.47290541891621674,1.0,0.3210697800705946,0.6421395601411892,0.5256941615042332
KNN,TEXT_AUDIO,4,40047,10016,0.05,0.4934105431309904,0.5,0.4934105431309904,1.0,0.33039176360475997,0.6607835272095199,0.522199393133785
XGB,TEXT_AUDIO,0,40042,10021,0.4799999999999999,0.5483484682167449,0.5480446758683482,0.5468148781530568,0.515310233682514,0.5477015022417948,0.5305953121758972,0.5635240729495198
XGB,TEXT_AUDIO,1,40061,10002,0.4799999999999999,0.5432913417316537,0.5426961732675573,0.5175745118191162,0.5313357248364634,0.5425670393746196,0.5243648479800084,0.5656638289568606
XGB,TEXT_AUDIO,2,40041,10022,0.4799999999999999,0.5486928756735182,0.5479248716959246,0.5283724797339431,0.5300250208507089,0.5479176914800126,0.5291974601852816,0.5641711488110228
XGB,TEXT_AUDIO,3,40061,10002,0.4799999999999999,0.5390921815636872,0.5377238881385404,0.5126903553299492,0.5124735729386892,0.5377246895524654,0.5125819412137873,0.5607629320162846
XGB,TEXT_AUDIO,4,40047,10016,0.4799999999999999,0.551417731629393,0.5505251935458811,0.5519315290307657,0.4828004856333468,0.5488815413128731,0.515056664867782,0.5642577469796666
LogReg,TEXT_AUDIO_STRUCT,0,40042,10021,0.5099999999999999,0.5575291887037221,0.5577022467640056,0.551040061633282,0.5763497179693795,0.5574488714472199,0.563410791650256,0.5818165061729005
LogReg,TEXT_AUDIO_STRUCT,1,40061,10002,0.5099999999999999,0.5617876424715057,0.5615217528059921,0.5361935746238308,0.5564465077020468,0.5612656477274908,0.5461323392357875,0.5899258809374326
LogReg,TEXT_AUDIO_STRUCT,2,40041,10022,0.5099999999999999,0.5670524845340251,0.565537736032738,0.5493627133290128,0.5302335279399499,0.5655107168647959,0.5396286472148542,0.5870155621456457
LogReg,TEXT_AUDIO_STRUCT,3,40061,10002,0.5099999999999999,0.5625874825034993,0.5611416731096832,0.5377579238459902,0.53446088794926,0.5611572473556186,0.5361043367617432,0.5844025398852127
LogReg,TEXT_AUDIO_STRUCT,4,40047,10016,0.5099999999999999,0.5596046325878594,0.5593320435857684,0.5553932818693929,0.5386483205180089,0.5592577290626582,0.5468926553672316,0.5841284920050912
RandomForest,TEXT_AUDIO_STRUCT,0,40042,10021,0.4799999999999999,0.550743438778565,0.551288239134304,0.5412942438326779,0.6099919419822724,0.5494496308834995,0.5735934836143209,0.5759159641329775
RandomForest,TEXT_AUDIO_STRUCT,1,40061,10002,0.4599999999999999,0.551489702059588,0.5600876487995421,0.519134775374376,0.7242034184427094,0.5431923512744992,0.6047577092511013,0.5841524581040237
RandomForest,TEXT_AUDIO_STRUCT,2,40041,10022,0.5299999999999999,0.5548792656156456,0.5457333129693803,0.5586690017513135,0.33256880733944955,0.5284888468845796,0.41693896222715987,0.5770015164442113
RandomForest,TEXT_AUDIO_STRUCT,3,40061,10002,0.5499999999999999,0.5561887622475505,0.5400420106061141,0.5727863931965983,0.24207188160676532,0.5029650395916822,0.34031802645266757,0.5779552191641509
RandomForest,TEXT_AUDIO_STRUCT,4,40047,10016,0.4499999999999999,0.5484225239616614,0.5508563506960601,0.5305794774485476,0.735532173209227,0.533746502908472,0.6164673959128296,0.5784796784202464
KNN,TEXT_AUDIO_STRUCT,0,40042,10021,0.05,0.4953597445364734,0.5,0.4953597445364734,1.0,0.3312645979312646,0.6625291958625292,0.5506517999399911
KNN,TEXT_AUDIO_STRUCT,1,40061,10002,0.05,0.47380523895220955,0.5,0.47380523895220955,1.0,0.3214842955023404,0.6429685910046808,0.548543569622134
KNN,TEXT_AUDIO_STRUCT,2,40041,10022,0.33999999999999997,0.4997006585511874,0.5160113176339385,0.4876333106421602,0.896163469557965,0.4261484668722394,0.6315944158706833,0.5500407438651995
KNN,TEXT_AUDIO_STRUCT,3,40061,10002,0.05,0.47320535892821436,0.5002845220030349,0.4730473047304731,1.0,0.32170389588325443,0.6422703510082151,0.5524336957463258
