,model_name,feature_set,fold,f1_macro,roc_auc,threshold
24,LogReg,TEXT_AUDIO_STRUCT_SEMANTIC,5,0.6120942630954992,0.6821597948571182,0.2800000000000001
25,LogReg,FULL,1,0.6195560417550902,0.6906176445050325,0.26000000000000006
26,LogReg,FULL,2,0.6093782148260212,0.690234542106601,0.2800000000000001
27,LogReg,FULL,3,0.6069262195324026,0.6759162880815841,0.2700000000000001
28,LogReg,FULL,4,0.6127074267963111,0.6912617056124957,0.26000000000000006
29,LogReg,FULL,5,0.6128516495644813,0.6821564382305632,0.2700000000000001
30,RandomForest,TEXT_ONLY,1,0.5624093356633377,0.5866780379644395,0.3100000000000001
31,RandomForest,TEXT_ONLY,2,0.5449916205517906,0.6017954016249044,0.36000000000000015
32,RandomForest,TEXT_ONLY,3,0.5565132779791756,0.5992369689062854,0.3300000000000001
33,RandomForest,TEXT_ONLY,4,0.5382008160250149,0.5877646896999104,0.35000000000000014
34,RandomForest,TEXT_ONLY,5,0.5305291259231035,0.5928267123874537,0.4000000000000002
35,RandomForest,TEXT_AUDIO,1,0.573180206046276,0.6197730257057193,0.3200000000000001
36,RandomForest,TEXT_AUDIO,2,0.5712801620565312,0.6201460341472618,0.3100000000000001
37,RandomForest,TEXT_AUDIO,3,0.5504799139511888,0.6188669302481954,0.35000000000000014
38,RandomForest,TEXT_AUDIO,4,0.5637311338347032,0.6095202110470246,0.3300000000000001
39,RandomForest,TEXT_AUDIO,5,0.5633343757859762,0.6100603397789396,0.3200000000000001
40,RandomForest,TEXT_AUDIO_STRUCT,1,0.6176055988540676,0.6822371198547612,0.36000000000000015
41,RandomForest,TEXT_AUDIO_STRUCT,2,0.5845695734434124,0.6789583464343063,0.38000000000000017
42,RandomForest,TEXT_AUDIO_STRUCT,3,0.5805516420320662,0.6688380148073156,0.3900000000000002
43,RandomForest,TEXT_AUDIO_STRUCT,4,0.5530539332697082,0.6726467569011001,0.4200000000000002
44,RandomForest,TEXT_AUDIO_STRUCT,5,0.5924100542883171,0.6651484998087607,0.34000000000000014
45,RandomForest,TEXT_AUDIO_STRUCT_SEMANTIC,1,0.6258909920250405,0.6816421721323868,0.3200000000000001
46,RandomForest,TEXT_AUDIO_STRUCT_SEMANTIC,2,0.5864170337738619,0.6885911265301567,0.36000000000000015
47,RandomForest,TEXT_AUDIO_STRUCT_SEMANTIC,3,0.5907412753756222,0.669491788804642,0.36000000000000015
48,RandomForest,TEXT_AUDIO_STRUCT_SEMANTIC,4,0.6012117281167678,0.6762516058202652,0.34000000000000014
49,RandomForest,TEXT_AUDIO_STRUCT_SEMANTIC,5,0.6072888204786674,0.6639848987137937,0.3100000000000001
50,RandomForest,FULL,1,0.6288672991849333,0.6831476914265924,0.3200000000000001
51,RandomForest,FULL,2,0.5951078856994751,0.6833974727448097,0.34000000000000014
52,RandomForest,FULL,3,0.5872195277881576,0.6660229661404307,0.37000000000000016
53,RandomForest,FULL,4,0.5941491491491492,0.672676984106094,0.35000000000000014
54,RandomForest,FULL,5,0.5981716389622812,0.6604463076666234,0.3000000000000001
55,XGB,TEXT_ONLY,1,0.5664555732667519,0.5947258802016694,0.24000000000000005
56,XGB,TEXT_ONLY,2,0.5630569448571775,0.6052780609556168,0.24000000000000005
57,XGB,TEXT_ONLY,3,0.5744970651549173,0.6145466989521415,0.24000000000000005
58,XGB,TEXT_ONLY,4,0.5569314431560594,0.5993410299495562,0.24000000000000005
59,XGB,TEXT_ONLY,5,0.5682457892476853,0.602085613410253,0.24000000000000005
