company,emotion,modality,hedges_g,ci_low,ci_high,p_value
AAPL,fear,text,-0.009687317632358625,-0.260977210620319,0.2416025753556017,0.9393551169454214
ABNB,happy,audio,0.184047854755834,-0.09206488202566157,0.4601605915373296,0.19645928743047664
ABNB,happy,text,-0.03150976926778785,-0.307051521559176,0.24403198302360027,0.8223764913555458
ABNB,neutral,audio,-0.02972297831847656,-0.30526282869371013,0.24581687205675704,0.8322958330381679
ABNB,neutral,text,0.10703048593362847,-0.1686930819825438,0.3827540538498007,0.45006212145260466
ABNB,surprise,audio,-0.02278803760635891,-0.2983215575468373,0.25274548233411953,0.8707547368016901
ABNB,surprise,text,0.07596722042872145,-0.1996575794439714,0.3515920203014143,0.5902951426369057
ABNB,disgust,audio,-0.06714822953721822,-0.34275109508879775,0.20845463601436132,0.6338403169042743
ABNB,disgust,text,-0.03938260678645814,-0.31493406095011517,0.23616884737719887,0.7796447611673906
ABNB,anger,audio,0.4525881561293072,0.17352543168734874,0.7316508805712656,0.0012369151259321145
ABNB,anger,text,-0.061917108232372745,-0.3375082396856243,0.21367402322087886,0.6616458380336389
ABNB,sadness,audio,-0.30099662500434204,-0.5780916495856792,-0.02390160042300493,0.03328942267090149
ABNB,sadness,text,-0.13191989336863674,-0.4077467580783334,0.1439069713410599,0.35329938035345926
ABNB,fear,audio,-0.1955243787737712,-0.4717126732571199,0.08066391570957748,0.16324694056132047
ABNB,fear,text,-0.06372652629254966,-0.33932160896254693,0.21186855637744761,0.6505444839815689
WMB,happy,audio,0.07602041844297898,-0.22216127147033082,0.37420210835628875,0.6096592786755983
WMB,happy,text,-0.12785603474180898,-0.42623271382119854,0.17052064433758055,0.40867254896683475
WMB,neutral,audio,-0.17356843128434704,-0.4721991496400001,0.12506228707130604,0.2500116476418357
WMB,neutral,text,0.18193705766544943,-0.11674848387249276,0.4806225992033916,0.23613395132019768
WMB,surprise,audio,0.30775427385783377,0.00793564495772836,0.6075729027579392,0.03954113311141532
WMB,surprise,text,0.025317168581149574,-0.27276967237617616,0.3234040095384753,0.8693550804987796
WMB,disgust,audio,-0.0519788240639219,-0.3501037112543833,0.24614606312653947,0.7346385370608959
WMB,disgust,text,-0.03822586251654479,-0.33632784726071235,0.25987612222762274,0.8030317016415738
WMB,anger,audio,0.08346171525763496,-0.21474187756655905,0.38166530808182897,0.578913421704112
WMB,anger,text,-0.14499591385217175,-0.44345884018388315,0.15346701247953964,0.33169892189944095
WMB,sadness,audio,-0.12495295251221816,-0.4233160942024004,0.17341018917796408,0.4163869514244075
WMB,sadness,text,-0.10107763151490727,-0.39934121391008087,0.1971859508802663,0.49911970559750196
WMB,fear,audio,-0.2189279302806761,-0.5178865695521613,0.08003070899080905,0.14834521423246383
WMB,fear,text,-0.003004949556597174,-0.30108012316241584,0.29507022404922145,0.9841708704164417
PSX,happy,audio,-0.14480252721143047,-0.3749477746051316,0.08534272018227071,0.22676755983473268
PSX,happy,text,-0.013449607389671723,-0.2432950373193824,0.21639582254003897,0.9091577858046319
PSX,neutral,audio,0.04665469296358665,-0.18321953970048177,0.2765289256276551,0.6920568066516625
PSX,neutral,text,0.1939673502998,-0.03641784533571785,0.42435254593531785,0.10325146572478117
PSX,surprise,audio,0.008169648744024927,-0.22167413369258684,0.2380134311806367,0.9449454808428549
PSX,surprise,text,-0.1063777288657482,-0.33638381669599565,0.12362835896449925,0.3686899371439648
