timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/02/24 20:17:07.006, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:07.006, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:08.007, 0, NVIDIA A10G, 21 %, 7 %, 1247 MiB, 23028 MiB
2026/02/24 20:17:08.007, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:08.007, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:08.007, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:09.007, 0, NVIDIA A10G, 14 %, 4 %, 1247 MiB, 23028 MiB
2026/02/24 20:17:09.009, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:09.009, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:09.009, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:10.009, 0, NVIDIA A10G, 0 %, 0 %, 1247 MiB, 23028 MiB
2026/02/24 20:17:10.009, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:10.009, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:10.010, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:11.010, 0, NVIDIA A10G, 0 %, 0 %, 1247 MiB, 23028 MiB
2026/02/24 20:17:11.010, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:11.010, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:11.010, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:12.010, 0, NVIDIA A10G, 0 %, 0 %, 1247 MiB, 23028 MiB
2026/02/24 20:17:12.010, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:12.010, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:12.010, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:13.010, 0, NVIDIA A10G, 0 %, 0 %, 1247 MiB, 23028 MiB
2026/02/24 20:17:13.011, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:13.011, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:13.011, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:14.011, 0, NVIDIA A10G, 0 %, 0 %, 1247 MiB, 23028 MiB
2026/02/24 20:17:14.011, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:14.011, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:14.011, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:15.011, 0, NVIDIA A10G, 0 %, 0 %, 1247 MiB, 23028 MiB
2026/02/24 20:17:15.011, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:15.011, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:15.012, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:16.012, 0, NVIDIA A10G, 66 %, 42 %, 1659 MiB, 23028 MiB
2026/02/24 20:17:16.012, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:16.012, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:16.012, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:17.012, 0, NVIDIA A10G, 21 %, 7 %, 1659 MiB, 23028 MiB
2026/02/24 20:17:17.012, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:17.012, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:17.012, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:18.012, 0, NVIDIA A10G, 23 %, 8 %, 1659 MiB, 23028 MiB
2026/02/24 20:17:18.012, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:18.012, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:18.013, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:19.013, 0, NVIDIA A10G, 21 %, 7 %, 1659 MiB, 23028 MiB
2026/02/24 20:17:19.013, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:19.013, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:19.013, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:20.013, 0, NVIDIA A10G, 21 %, 7 %, 1659 MiB, 23028 MiB
2026/02/24 20:17:20.013, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:20.013, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:20.013, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:21.013, 0, NVIDIA A10G, 21 %, 7 %, 1659 MiB, 23028 MiB
2026/02/24 20:17:21.013, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:21.013, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:21.013, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:22.013, 0, NVIDIA A10G, 22 %, 7 %, 1659 MiB, 23028 MiB
2026/02/24 20:17:22.014, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:22.014, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:22.014, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:23.014, 0, NVIDIA A10G, 24 %, 8 %, 1659 MiB, 23028 MiB
2026/02/24 20:17:23.014, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:23.014, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:23.014, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:24.014, 0, NVIDIA A10G, 24 %, 8 %, 1659 MiB, 23028 MiB
2026/02/24 20:17:24.014, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:24.014, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:24.014, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:25.014, 0, NVIDIA A10G, 0 %, 0 %, 1659 MiB, 23028 MiB
2026/02/24 20:17:25.014, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:25.015, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:25.015, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:26.015, 0, NVIDIA A10G, 0 %, 0 %, 1659 MiB, 23028 MiB
2026/02/24 20:17:26.015, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:26.015, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:26.015, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:27.015, 0, NVIDIA A10G, 0 %, 0 %, 1659 MiB, 23028 MiB
2026/02/24 20:17:27.015, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:27.015, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:27.015, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:28.015, 0, NVIDIA A10G, 0 %, 0 %, 1659 MiB, 23028 MiB
2026/02/24 20:17:28.015, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:28.016, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:28.016, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:29.017, 0, NVIDIA A10G, 0 %, 0 %, 1659 MiB, 23028 MiB
2026/02/24 20:17:29.017, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:29.018, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:29.018, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:30.029, 0, NVIDIA A10G, 0 %, 0 %, 1659 MiB, 23028 MiB
2026/02/24 20:17:30.029, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:30.029, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:30.029, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:31.029, 0, NVIDIA A10G, 0 %, 0 %, 1659 MiB, 23028 MiB
2026/02/24 20:17:31.029, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:31.029, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:31.029, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
