company,emotion,modality,hedges_g,ci_low,ci_high,p_value
CSX,fear,text,-0.10065097493821884,-0.35176822445762024,0.15046627458118256,0.43091219429090666
MA,happy,audio,-0.06010525963995157,-0.29824524746818676,0.1780347281882836,0.6272102800866447
MA,happy,text,0.18432730080005869,-0.05425513491521952,0.4229097365153369,0.13796835649802436
MA,neutral,audio,0.06264702709200194,-0.17549751133893976,0.30079156552294367,0.6109534491239635
MA,neutral,text,-0.04338815505595438,-0.2815029078177887,0.1947265977058799,0.7227794672790759
MA,surprise,audio,-0.0532910084441329,-0.2914197259888154,0.18483770910054956,0.6673852432153743
MA,surprise,text,-0.0026638578719904455,-0.24075125285376955,0.23542353710978867,0.9825568435718199
MA,disgust,audio,-0.024241813129525787,-0.26233767745934,0.21385405120028841,0.844139998535964
MA,disgust,text,0.08227063030677449,-0.15591538075736155,0.32045664137091057,0.49726876530952113
MA,anger,audio,-0.00416434183991105,-0.24225188628721336,0.23392320260739127,0.9723486089187703
MA,anger,text,-0.007463123854436001,-0.24555122785507597,0.23062498014620395,0.951061106231812
MA,sadness,audio,0.10370192119919684,-0.13454220214897727,0.34194604454737093,0.3962144995784673
MA,sadness,text,-0.26211500053993236,-0.501202467650536,-0.023027533429328784,0.03139561839500184
MA,fear,audio,-0.02421916091855602,-0.2623150092346996,0.21387668739758753,0.8437039247933754
MA,fear,text,-0.06232820123168301,-0.3004721585271664,0.1758157560638004,0.6157899625912906
RCL,happy,audio,0.2270491678526391,-0.046324654442543606,0.5004229901478218,0.10307218031923614
RCL,happy,text,0.34639893356975016,0.07184616741166572,0.6209516997278346,0.013050742354585292
RCL,neutral,audio,0.12003441181526997,-0.15269746101770215,0.3927662846482421,0.38698646815293913
RCL,neutral,text,-0.08759556200161735,-0.36021086605805847,0.1850197420548238,0.5273739074670478
RCL,surprise,audio,-0.0876240418264769,-0.3602394322681538,0.18499134861519997,0.5272543385920913
RCL,surprise,text,-0.052110981539002246,-0.32464045455468904,0.22041849147668457,0.7066595469936793
RCL,disgust,audio,-0.03632621546581725,-0.30883151447021784,0.23617908353858333,0.7931290582847107
RCL,disgust,text,-0.03329929696123873,-0.30580094618380643,0.23920235226132897,0.8099783437947075
RCL,anger,audio,-0.12759351145105777,-0.40035777181342547,0.14517074891130996,0.3577159967397559
RCL,anger,text,-0.13105582349807743,-0.40383557729098013,0.14172393029482527,0.34519219413940244
RCL,sadness,audio,-0.15971109655413465,-0.43263495981883004,0.11321276671056077,0.2500801281021763
RCL,sadness,text,-0.2707704119998423,-0.5445197077435155,0.0029788837438309845,0.05191087247025893
RCL,fear,audio,-0.04061186044833612,-0.31312286960681024,0.23189914871013803,0.7699501109168198
RCL,fear,text,0.0757875126063762,-0.1967943926077819,0.3483694178205343,0.5841959001737531
JPM,happy,audio,0.21183075142321106,-0.024486997926304932,0.44814850077272705,0.07708479102385668
JPM,happy,text,0.19508208273940847,-0.04113437903079775,0.4312985445096147,0.10347664728156283
JPM,neutral,audio,-0.035850438719280536,-0.2715196508893167,0.1998187734507556,0.7650425021195456
