timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/02/25 17:19:16.614, 1, NVIDIA A10G, 18 %, 6 %, 1455 MiB, 23028 MiB
2026/02/25 17:19:16.614, 2, NVIDIA A10G, 20 %, 8 %, 1531 MiB, 23028 MiB
2026/02/25 17:19:16.614, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:19:17.614, 0, NVIDIA A10G, 18 %, 6 %, 1247 MiB, 23028 MiB
2026/02/25 17:19:17.615, 1, NVIDIA A10G, 22 %, 7 %, 1455 MiB, 23028 MiB
2026/02/25 17:19:17.615, 2, NVIDIA A10G, 21 %, 8 %, 1531 MiB, 23028 MiB
2026/02/25 17:19:17.615, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:19:18.615, 0, NVIDIA A10G, 20 %, 7 %, 1247 MiB, 23028 MiB
2026/02/25 17:19:18.615, 1, NVIDIA A10G, 19 %, 6 %, 1455 MiB, 23028 MiB
2026/02/25 17:19:18.615, 2, NVIDIA A10G, 21 %, 8 %, 1531 MiB, 23028 MiB
2026/02/25 17:19:18.615, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:19:19.615, 0, NVIDIA A10G, 0 %, 0 %, 1247 MiB, 23028 MiB
2026/02/25 17:19:19.615, 1, NVIDIA A10G, 19 %, 6 %, 1455 MiB, 23028 MiB
2026/02/25 17:19:19.615, 2, NVIDIA A10G, 22 %, 8 %, 1531 MiB, 23028 MiB
2026/02/25 17:19:19.616, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:19:20.616, 0, NVIDIA A10G, 0 %, 0 %, 1247 MiB, 23028 MiB
2026/02/25 17:19:20.616, 1, NVIDIA A10G, 18 %, 5 %, 1455 MiB, 23028 MiB
2026/02/25 17:19:20.616, 2, NVIDIA A10G, 21 %, 8 %, 1531 MiB, 23028 MiB
2026/02/25 17:19:20.616, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:19:21.616, 0, NVIDIA A10G, 0 %, 0 %, 1247 MiB, 23028 MiB
2026/02/25 17:19:21.616, 1, NVIDIA A10G, 20 %, 7 %, 1455 MiB, 23028 MiB
2026/02/25 17:19:21.616, 2, NVIDIA A10G, 20 %, 7 %, 1531 MiB, 23028 MiB
2026/02/25 17:19:21.616, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:19:22.617, 0, NVIDIA A10G, 0 %, 0 %, 1247 MiB, 23028 MiB
2026/02/25 17:19:22.617, 1, NVIDIA A10G, 21 %, 6 %, 1455 MiB, 23028 MiB
2026/02/25 17:19:22.617, 2, NVIDIA A10G, 21 %, 7 %, 1531 MiB, 23028 MiB
2026/02/25 17:19:22.617, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:19:23.617, 0, NVIDIA A10G, 0 %, 0 %, 1247 MiB, 23028 MiB
2026/02/25 17:19:23.617, 1, NVIDIA A10G, 10 %, 3 %, 1455 MiB, 23028 MiB
2026/02/25 17:19:23.617, 2, NVIDIA A10G, 22 %, 8 %, 1533 MiB, 23028 MiB
2026/02/25 17:19:23.617, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:19:24.617, 0, NVIDIA A10G, 0 %, 0 %, 1247 MiB, 23028 MiB
2026/02/25 17:19:24.618, 1, NVIDIA A10G, 0 %, 0 %, 1455 MiB, 23028 MiB
2026/02/25 17:19:24.618, 2, NVIDIA A10G, 12 %, 4 %, 1533 MiB, 23028 MiB
2026/02/25 17:19:24.618, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:19:25.618, 0, NVIDIA A10G, 0 %, 0 %, 1771 MiB, 23028 MiB
2026/02/25 17:19:25.618, 1, NVIDIA A10G, 0 %, 0 %, 1455 MiB, 23028 MiB
2026/02/25 17:19:25.618, 2, NVIDIA A10G, 0 %, 0 %, 1533 MiB, 23028 MiB
2026/02/25 17:19:25.618, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:19:26.618, 0, NVIDIA A10G, 23 %, 8 %, 1771 MiB, 23028 MiB
2026/02/25 17:19:26.618, 1, NVIDIA A10G, 0 %, 0 %, 1455 MiB, 23028 MiB
2026/02/25 17:19:26.619, 2, NVIDIA A10G, 0 %, 0 %, 1533 MiB, 23028 MiB
2026/02/25 17:19:26.619, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:19:27.619, 0, NVIDIA A10G, 22 %, 7 %, 1771 MiB, 23028 MiB
2026/02/25 17:19:27.619, 1, NVIDIA A10G, 0 %, 0 %, 1455 MiB, 23028 MiB
2026/02/25 17:19:27.619, 2, NVIDIA A10G, 0 %, 0 %, 1533 MiB, 23028 MiB
2026/02/25 17:19:27.619, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:19:28.619, 0, NVIDIA A10G, 21 %, 6 %, 1771 MiB, 23028 MiB
2026/02/25 17:19:28.619, 1, NVIDIA A10G, 0 %, 0 %, 1455 MiB, 23028 MiB
